Industry,Business Name,Category,Address,Council Area,Suburb,Google Maps,Website,Email,Phone,Latitude,Longitude,Permanently Closed,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Assistive Hearing Loop,Family-Friendly,LGBTQ+ Friendly (Likely),Sensory Sensitivity (Loud),Sensory Sensitivity (Quiet),Wheelchair Accessible (Likely),Wheelchair Accessible Entrance,Wheelchair Accessible Parking Lot,Wheelchair Accessible Restroom,Wheelchair Accessible Seating,Reviews Count,Total Score
Food & drink,Brothers Foodies ( Kebab and Burger),Kebab shop,"946-948 Sydney Rd, Coburg North VIC 3058, Australia",Merri-Bek,Coburg North,https://www.google.com/maps/search/?api=1&query=Brothers%20Foodies%20(%20Kebab%20and%20Burger)&query_place_id=ChIJuzoFCsVF1moRrWDUgXMVv-g,https://brothers-foodies-kebab-and-burger-coburg-north.nextorder.com/,,+61 469 291 756,-37.7239034,144.9638389,False,5:30 PM to 2 AM,5:30 PM to 2 AM,5:30 PM to 2 AM,5:30 PM to 12:30 AM,5:30 PM to 2 AM,5:30 PM to 2 AM,5:30 PM to 12 AM,,True,,,,,,,,,96.0,4.8
Entertainment & recreation,Luminare,Event venue,"Cnr Browns Lane &, York St, South Melbourne VIC 3205, Australia",Port Phillip,South Melbourne,https://www.google.com/maps/search/?api=1&query=Luminare&query_place_id=ChIJWfzVCP9n1moRKwLlDxYGd_o,http://www.luminare.net.au/,,+61 3 8416 9700,-37.830707,144.9577094,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,True,True,True,True,,209.0,4.5
Education,FH Hospitality,Training center,"65 Hardiman St, Kensington VIC 3031, Australia",Melbourne,Kensington,https://www.google.com/maps/search/?api=1&query=FH%20Hospitality&query_place_id=ChIJndsjKRdd1moRKSLkJGnn7B8,http://fhhospitality.com/,,+61 3 9372 6986,-37.795511,144.934147,False,,,,,,,,,,,,,,,,,,,
Shopping,THIRSTY CAMEL COBBLEBANK,Liquor store,"223 Bridge Rd, Cobblebank VIC 3338, Australia",Melton,Cobblebank,https://www.google.com/maps/search/?api=1&query=THIRSTY%20CAMEL%20COBBLEBANK&query_place_id=ChIJPZryskOT1moRhk4W_k49ZVc,https://www.thirstycamel.com.au/,,+61 3 8824 0420,-37.7150145,144.5951454,False,10 AM to 11 PM,10 AM to 11 PM,10 AM to 11 PM,10 AM to 11 PM,10 AM to 11 PM,12 to 11 PM,10 AM to 11 PM,,,True,,,True,True,True,True,True,107.0,4.4
Automotive,TyrePlus Melton | RACV Autocare Centre Melton,Tire shop,"22 Norton Dr, Melton VIC 3337, Australia",Melton,Melton,https://www.google.com/maps/search/?api=1&query=TyrePlus%20Melton%20%7C%20RACV%20Autocare%20Centre%20Melton&query_place_id=ChIJuclpLEvt1moRo7qkmgPW0ik,https://www.tyreplus.com.au/tyre-shop/melton/tyreplus-melton-racv-autocare-centre-melton?utm_source=Google&utm_medium=organic&utm_campaign=Uberall_GBP&utm_content=LDS&utm_term=Uberall_GBP,,+61 3 9946 1108,-37.6916,144.599,False,8:30 AM to 6:30 PM,8:30 AM to 6:30 PM,8:30 AM to 6:30 PM,8:30 AM to 6:30 PM,8:30 AM to 6:30 PM,8:30 AM to 5 PM,9 AM to 4 PM,,,True,,,True,True,True,,,829.0,4.9
Food & drink,Sushi Hub M-City,Sushi takeaway,"City, Shop 38, M/2107 Dandenong Rd, Clayton VIC 3168, Australia",Monash,Clayton,https://www.google.com/maps/search/?api=1&query=Sushi%20Hub%20M-City&query_place_id=ChIJ9_BX0JQV1moRnn9oJ1_Rijk,https://www.sushihub.com.au/,,+61 3 9116 6158,-37.9213665,145.1401062,False,8 AM to 8 PM,8 AM to 8 PM,8 AM to 8 PM,8 AM to 8 PM,8 AM to 8 PM,8 AM to 8 PM,8 AM to 8 PM,,True,,,,True,True,True,True,,133.0,4.2
Services,JoyGlee Events,Party equipment rental service,"38 Strathmore St, Bentleigh VIC 3204, Australia",Glen Eira,Bentleigh,https://www.google.com/maps/search/?api=1&query=JoyGlee%20Events&query_place_id=ChIJF7BRIAIP1moRplG4eqqBDUM,https://joygleeevents.com.au/,,+61 411 790 830,-37.9158519,145.0459699,False,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,,,True,,True,,,5.0,5.0
Lodging,Astra Apartments Glen Waverley @Osullivan RD,Hotel,"Unit 23/54 Osullivan Rd, Glen Waverley VIC 3150, Australia",Monash,Glen Waverley,https://www.google.com/maps/search/?api=1&query=Astra%20Apartments%20Glen%20Waverley%20%40Osullivan%20RD&query_place_id=ChIJgZW0jQc_1moRUXQ5S19zvg4,https://www.astraapartments.com.au/locations/melbourne/glen-waverley/?utm_source=google&utm_medium=GMB&utm_campaign=glen-waverley,,+61 432 540 728,-37.8786804,145.1650843,False,,,,,,,,,,,,,,,,,,24.0,4.9
Shopping,AL-Fajr Halal Meats,Butcher shop,"382 Gilbert Rd, Preston VIC 3072, Australia",Darebin,Preston,https://www.google.com/maps/search/?api=1&query=AL-Fajr%20Halal%20Meats&query_place_id=ChIJXfDSHhtF1moR7FR5Qe9Bub0,,,+61 3 9471 4133,-37.7359683,144.9906138,False,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,Closed,,,,,,True,True,True,,,109.0,4.7
Food & drink,The Victoria Hotel Yarraville,Pub,"188 Hyde St, Yarraville VIC 3013, Australia",Maribyrnong,Yarraville,https://www.google.com/maps/search/?api=1&query=The%20Victoria%20Hotel%20Yarraville&query_place_id=ChIJwXlR6mdn1moRHyC3G6fMpAQ,https://www.vichotelyarraville.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=plcid_3630214774070118687,,+61 3 8840 4821,-37.8169975,144.8965301,False,12 to 11 PM,12 to 11 PM,12 to 11 PM,12 to 11 PM,12 PM to 12 AM,11:30 AM to 12 AM,11 AM to 11 PM,,True,,True,,True,True,True,True,True,984.0,4.1
Food & drink,Finesse Catering Group,Caterer,"32 New St, Frankston VIC 3199, Australia",Frankston,Frankston,https://www.google.com/maps/search/?api=1&query=Finesse%20Catering%20Group&query_place_id=ChIJo6-QlgZt1moR4lgnWQQCw_0,https://finessecateringgroup.com.au/,,+61 410 882 766,-38.130999,145.128929,False,6 AM to 10 PM,6 AM to 10 PM,6 AM to 10 PM,6 AM to 10 PM,6 AM to 10 PM,6 AM to 10 PM,6 AM to 10 PM,,,,,,True,True,True,,,92.0,5.0
Education,Alma Mater College Australia (AMCA) Docklands Campus,College,"6 Doepel Way, Docklands VIC 3008, Australia",Melbourne,Docklands,https://www.google.com/maps/search/?api=1&query=Alma%20Mater%20College%20Australia%20(AMCA)%20Docklands%20Campus&query_place_id=ChIJa9mEPgld1moRAGLBLotH9Pg,https://www.amca.edu.au/,,+61 421 455 408,-37.8141432,144.9400673,False,8 AM to 10 PM,8 AM to 10 PM,8 AM to 10 PM,8 AM to 10 PM,8 AM to 10 PM,8 AM to 10 PM,Closed,,,,,,True,True,,,,11.0,5.0
Lodging,George's Boutique Hotel & Culinary Retreat,Hotel,"776 Arthurs Seat Rd, Arthurs Seat VIC 3936, Australia",Mornington Peninsula,Arthurs Seat,https://www.google.com/maps/search/?api=1&query=George's%20Boutique%20Hotel%20%26%20Culinary%20Retreat&query_place_id=ChIJMcvn163I1WoRfC72jRIPlTc,https://www.georgesonarthurs.com.au/,,+61 3 5981 8700,-38.353349,144.952311,False,,,,,,,,,,,,,,,,,,83.0,4.4
Services,Looks Generous | Interior Design,Interior designer,"36 Grove Rd, Hawthorn VIC 3122, Australia",Boroondara,Hawthorn,https://www.google.com/maps/search/?api=1&query=Looks%20Generous%20%7C%20Interior%20Design&query_place_id=ChIJiVa5UFxD1moR2Ac8lojTMP4,https://looksgenerous.com/,,+61 3 9245 1010,-37.8150692,145.0254606,False,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,Closed,Closed,,,,,,,,,,,3.0,5.0
Lodging,Little Drifter North Melbourne,Hostel,"78 Howard St, North Melbourne VIC 3051, Australia",Melbourne,North Melbourne,https://www.google.com/maps/search/?api=1&query=Little%20Drifter%20North%20Melbourne&query_place_id=ChIJhWxdK39d1moRzUYOVsVdm10,https://thedrifter.com/north-melbourne/,,+61 1800 180 288,-37.8030407,144.9544932,False,,,,,,,,,,True,,,,,,,,1400.0,4.7
Other,Clipboard Hospitality,Business networking company,"31 Queen St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Clipboard%20Hospitality&query_place_id=ChIJiY9wCP9p1moRg8FECUiZaGM,https://www.clipboardhospo.com/,,+61 401 245 626,-37.8182055,144.9619149,False,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,Closed,Closed,,,,,,True,True,,,,,
Services,AM HOSPITALITY CONSULTING,Consultant,"11a Holmes St, Melbourne VIC 3000, Australia",Merri-Bek,Melbourne,https://www.google.com/maps/search/?api=1&query=AM%20HOSPITALITY%20CONSULTING&query_place_id=ChIJm255NutD1moRl1HFPQVBvUE,http://www.amhospitality.com.au/,,+61 418 377 227,-37.7609384,144.97393,False,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,Closed,,,,,,,,,,,2.0,5.0
Food & drink,Federal Hospitality Equipment Pty. Ltd. (VIC),Restaurant supply store,"1 Efficient Dr, Truganina VIC 3029, Australia",Melton,Truganina,https://www.google.com/maps/search/?api=1&query=Federal%20Hospitality%20Equipment%20Pty.%20Ltd.%20(VIC)&query_place_id=ChIJR-0tfPVg1moRa7ysigZPvsU,https://www.foodequipment.com.au/,,+61 1300 415 244,-37.8085947,144.7391937,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,True,True,True,,,115.0,4.4
Lodging,Rowville International Hotel,Hotel,"1233 Stud Rd, Rowville VIC 3178, Australia",Knox,Rowville,https://www.google.com/maps/search/?api=1&query=Rowville%20International%20Hotel&query_place_id=ChIJI1m7lwUW1moR1euAlrnvkgg,http://www.rowvilleinternational.com.au/,,+61 3 9764 5050,-37.9308906,145.233538,False,,,,,,,,,,,,,,,,,,317.0,4.1
Education,Monsoon Harvest,Hospitality and tourism school,"No:, 59 Francis St, Yarraville VIC 3013, Australia",Maribyrnong,Yarraville,https://www.google.com/maps/search/?api=1&query=Monsoon%20Harvest&query_place_id=ChIJTa9NvWNn1moRlDLnVGNwzzk,,,+61 435 783 906,-37.8217577,144.8927644,False,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 6 PM,9 AM to 6 PM,,,,,,True,True,True,,,,
Entertainment & recreation,Life's Too Short Bar,Event venue,"Tribeca Arcade, Shop 2/412 Victoria Parade, East Melbourne VIC 3002, Australia",Melbourne,East Melbourne,https://www.google.com/maps/search/?api=1&query=Life's%20Too%20Short%20Bar&query_place_id=ChIJafASURxD1moRx1rJBi_RSls,http://www.lifestooshortbar.com.au/,,+61 466 045 473,-37.8098449,144.9852752,False,,,,,,,,False,,,,,True,True,,False,True,173.0,4.7
Food & drink,Meals with Impact,Cafe,"1 2, Tower 3/747 Collins St, Docklands VIC 3008, Australia",Melbourne,Docklands,https://www.google.com/maps/search/?api=1&query=Meals%20with%20Impact&query_place_id=ChIJjVw7a09d1moR2zLKZMmiCpI,http://www.mealswithimpact.com.au/,,,-37.8208,144.948903,False,Closed,8 AM to 3 PM,8 AM to 3 PM,8 AM to 3 PM,Closed,Closed,Closed,,True,,,,True,True,,True,,92.0,4.8
Food & drink,Chaskah Truganina | Indian Restaurant | Function Hall | Bulk Food,Indian restaurant,"Unit 7/203 Palmers Rd, Truganina VIC 3029, Australia",Wyndham,Truganina,https://www.google.com/maps/search/?api=1&query=Chaskah%20Truganina%20%7C%20Indian%20Restaurant%20%7C%20Function%20Hall%20%7C%20Bulk%20Food&query_place_id=ChIJPXeWvUyJ1moRMYQxFd6dNHQ,http://www.chaskah.com.au/,,+61 3 9394 1165,-37.8386831,144.7455961,False,11 AM to 11 PM,Closed,11 AM to 11 PM,11 AM to 11 PM,11 AM to 11 PM,11 AM to 11 PM,11 AM to 11 PM,,True,,True,,True,True,True,True,True,1914.0,3.9
Food & drink,Heaven 7 Events,Mobile caterer,"890 North Rd, Bentleigh East VIC 3165, Australia",Glen Eira,Bentleigh East,https://www.google.com/maps/search/?api=1&query=Heaven%207%20Events&query_place_id=ChIJ-YisZDhr1moRy-9If85NwrA,https://heaven7.com.au/,,+61 431 027 027,-37.906812,145.060694,False,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,,,True,,,True,,True,,,188.0,5.0
Other,Five Bounds,Function room facility,"234 Swan St, Cremorne VIC 3121, Australia",Yarra,Cremorne,https://www.google.com/maps/search/?api=1&query=Five%20Bounds&query_place_id=ChIJiZySD0xD1moRUkGOo73znK0,https://fivebounds.com.au/,,+61 412 769 420,-37.8257702,144.99748,False,,,,,,,,,,,,,True,True,,True,,8.0,5.0
Food & drink,Hotel Collingwood,Pub,"376 Smith St, Collingwood VIC 3066, Australia",Yarra,Collingwood,https://www.google.com/maps/search/?api=1&query=Hotel%20Collingwood&query_place_id=ChIJO2hLFR9D1moRof3yLDXcbN4,https://www.hotelcollingwood.com.au/,,+61 3 4714 0491,-37.7977269,144.9846628,False,12 PM to 1 AM,12 PM to 1 AM,12 PM to 1 AM,12 PM to 1 AM,12 PM to 1 AM,12 PM to 1 AM,12 PM to 1 AM,,,,,,True,True,,True,,950.0,4.1
Food & drink,VERTA events,Mobile caterer,"251 Johnston St, Abbotsford VIC 3067, Australia",Yarra,Abbotsford,https://www.google.com/maps/search/?api=1&query=VERTA%20events&query_place_id=ChIJl_JV8qoAdiMR0C582FCBtpU,http://www.vertaevents.com.au/,,+61 499 403 733,-37.8001593,144.9947973,False,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,10 AM to 5 PM,Closed,Closed,Closed,,,True,,,,,,,,95.0,4.9
Entertainment & recreation,CG LIVE,Event ticket seller,"301 High St, Northcote VIC 3070, Australia",Darebin,Northcote,https://www.google.com/maps/search/?api=1&query=CG%20LIVE&query_place_id=ChIJ2_QFOHxD1moRx7FeNSjlEDQ,http://cglive.com.au/,,,-37.771438,144.998389,False,,,,,,,,,,,,,,,,,,,
Business & manufacturing,Complete Food Services,Wholesale food store,"45 Raglan St, Preston VIC 3072, Australia",Darebin,Preston,https://www.google.com/maps/search/?api=1&query=Complete%20Food%20Services&query_place_id=ChIJ0xY8B0dE1moRRsgx2BFfW88,https://completefoodservices.com.au/,,+61 3 9480 2336,-37.751586,145.0249745,False,9 AM to 4 PM,9 AM to 4 PM,9 AM to 4 PM,9 AM to 4 PM,9 AM to 3 PM,9 AM to 1 PM,Closed,False,,,,,True,True,True,True,True,34.0,3.4
Food & drink,Heaven 7 Events,Mobile caterer,"890 North Rd, Bentleigh East VIC 3165, Australia",Glen Eira,Bentleigh East,https://www.google.com/maps/search/?api=1&query=Heaven%207%20Events&query_place_id=ChIJ-YisZDhr1moRy-9If85NwrA,https://heaven7.com.au/,,+61 431 027 027,-37.906812,145.060694,False,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,,,True,,,True,,True,,,188.0,5.0
Health & wellness,Specsavers Optometrists & Audiology - Craigieburn,Optometrist,"Craigieburn Central, D00.14, 340 Craigieburn Rd, Craigieburn VIC 3064, Australia",Hume,Craigieburn,https://www.google.com/maps/search/?api=1&query=Specsavers%20Optometrists%20%26%20Audiology%20-%20Craigieburn&query_place_id=ChIJ7_ncOh5S1moRkfpjL-kGBzU,https://www.specsavers.com.au/stores/craigieburn?utm_source=google&utm_medium=places&utm_content=craigieburn&utm_campaign=googleplaces&y_source=1_MTEzNDkzNjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,+61 3 9333 8977,-37.5933902,144.9136418,False,9 AM to 5:30 PM,9 AM to 5:30 PM,9 AM to 5:30 PM,9 AM to 9 PM,9 AM to 8 PM,9 AM to 5 PM,10 AM to 5 PM,,,,,,True,True,True,,,609.0,4.5
Shopping,Carpet Call Notting Hill Head Office,Flooring store,"65 Normanby Rd, Notting Hill VIC 3168, Australia",Monash,Notting Hill,https://www.google.com/maps/search/?api=1&query=Carpet%20Call%20Notting%20Hill%20Head%20Office&query_place_id=ChIJeXfjqrVq1moRJ_agZPj_oNg,https://www.carpetcall.com.au/find-a-store/vic/notting-hill/?utm_source=google&utm_medium=organic_search&utm_campaign=gmb&utm_term=notting_hill&utm_content=website,,+61 3 9913 0398,-37.9051801,145.134778,False,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,Closed,Closed,,,,,,True,True,True,,,26.0,3.1
Lodging,Liberty One Apartments,Hotel,"9 Neilson Pl, Footscray VIC 3011, Australia",Maribyrnong,Footscray,https://www.google.com/maps/search/?api=1&query=Liberty%20One%20Apartments&query_place_id=ChIJp6J-bJpd1moRINHUarFfHfU,https://www.sungrass.com.au/property/liberty-one/,,+61 1300 588 858,-37.7994472,144.9075147,False,,,,,,,,,,True,,,,,,,,412.0,3.4
Shopping,Hotel Agencies,Countertop store,"298 Nicholson St, Fitzroy VIC 3065, Australia",Yarra,Fitzroy,https://www.google.com/maps/search/?api=1&query=Hotel%20Agencies&query_place_id=ChIJhQGFAydD1moRgd3_5ry1giU,https://hotelagenciesrestaurantsupplies.com.au/,,+61 3 9411 8888,-37.7961425,144.9754638,False,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,9 AM to 1:30 PM,Closed,,,,,,True,True,True,,,191.0,4.8
Education,Swiss Institute Australia,Educational institution,"Level 1, Suite 22/420 Collins St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Swiss%20Institute%20Australia&query_place_id=ChIJ-fdPWCBd1moRI0hFdd4N7aU,https://www.swiss.edu.au/,,+61 3 4309 4084,-37.817029,144.9602963,False,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,Closed,Closed,,,,,,True,True,,,,1.0,5.0
Services,Global Hospitality Group,Food and beverage consultant,"30 Belford Rd, Kew East VIC 3102, Australia",Boroondara,Kew East,https://www.google.com/maps/search/?api=1&query=Global%20Hospitality%20Group&query_place_id=ChIJdR0M_-5D1moRO4vwA5LIE0I,http://www.globalhospitalitygroup.com.au/,,+61 413 150 599,-37.7987865,145.0471646,False,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,8:30 AM to 5:30 PM,9 AM to 12:30 PM,Closed,,,,,,True,,True,,,,
Food & drink,The Merchants Guild,Cafe,"680 Centre Rd, Bentleigh East VIC 3165, Australia",Glen Eira,Bentleigh East,https://www.google.com/maps/search/?api=1&query=The%20Merchants%20Guild&query_place_id=ChIJpQHAGudr1moRFHl5j86wjik,http://themerchantsguild.com/,,+61 3 9579 0734,-37.9209685,145.0568076,False,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7:30 AM to 3 PM,8 AM to 3 PM,,,,,,True,True,,,True,745.0,4.3
Education,Complete Hospitality Training - Melbourne,Training center,"Level 3/28 Elizabeth St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Complete%20Hospitality%20Training%20-%20Melbourne&query_place_id=ChIJDbNPcLRC1moR00NHPj8TcRw,https://cht.edu.au/,,+61 3 9654 1554,-37.8173269,144.9648461,False,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,Closed,Closed,,,True,,,,,,,,477.0,4.8
Lodging,Rydges Melbourne,Hotel,"186 Exhibition St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Rydges%20Melbourne&query_place_id=ChIJGx34w8hC1moRP_RjDusr0Zs,https://www.rydges.com/accommodation/melbourne-vic/melbourne-cbd/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,+61 3 9662 0511,-37.8112221,144.970649,False,,,,,,,,,,,,,,,,,,2430.0,4.1
Lodging,BIG4 Mornington Peninsula Holiday Park - Frankston,Hotel,"Frankston Holiday Village, 2 Robinsons Rd, Frankston South VIC 3199, Australia",Frankston,Frankston South,https://www.google.com/maps/search/?api=1&query=BIG4%20Mornington%20Peninsula%20Holiday%20Park%20-%20Frankston&query_place_id=ChIJ3_JkRbQK1moRQ0mvFR5PtC8,https://www.big4.com.au/caravan-parks/vic/mornington-peninsula/mornington-peninsula-holiday-park,,+61 1800 623 491,-38.1744053,145.1412609,False,,,,,,,,,True,,,,True,True,True,True,,289.0,4.3
Food & drink,Brandon Hotel,Pub,"237 Station St, Carlton North VIC 3054, Australia",Yarra,Carlton North,https://www.google.com/maps/search/?api=1&query=Brandon%20Hotel&query_place_id=ChIJh4ISrSVD1moREEo3LzmWUdY,http://www.brandonhotel.com.au/,,+61 3 9347 2382,-37.7913346,144.9748253,False,3 to 11 PM,3 to 11 PM,3 to 11 PM,3 to 11 PM,12 to 11 PM,12 to 11 PM,12 to 11 PM,,,,,,True,True,True,True,,381.0,4.3
Education,5 Star Hospitality Training,Training center,"3/5 Church St, Healesville VIC 3777, Australia",Yarra Ranges,Healesville,https://www.google.com/maps/search/?api=1&query=5%20Star%20Hospitality%20Training&query_place_id=ChIJ__8P9D0qKGsRfvp--WpBk4U,http://5starhospitalitytraining.com.au/,,+61 1300 496 337,-37.6546107,145.5139464,False,,,,,,,,,,,,,True,,True,,,2.0,1.5
Food & drink,Comcater Head Office,Kitchen supply store,"191 Salmon St, Port Melbourne VIC 3207, Australia",Melbourne,Port Melbourne,https://www.google.com/maps/search/?api=1&query=Comcater%20Head%20Office&query_place_id=ChIJYW1LL4aK1moRWs9JpPY1itw,https://www.comcater.com.au/,,+61 3 8369 4600,-37.8247838,144.9204092,False,8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,Closed,Closed,,,,,,True,True,True,,,21.0,1.9
Education,Chief HOSPITALITY,Hospitality high school,"1/38 Gipps St, Collingwood VIC 3066, Australia",Yarra,Collingwood,https://www.google.com/maps/search/?api=1&query=Chief%20HOSPITALITY&query_place_id=ChIJaSeOheFC1moRE7iTx9xXf3k,http://chiefhospitality.com.au/,,+61 1300 848 698,-37.8042279,144.9882628,False,,,,,,,,,,,,,,,,,,,
Food & drink,Beit al Kababjii,Takeout Restaurant,"Shop 19/100 Overton Rd, Williams Landing VIC 3027, Australia",Wyndham,Williams Landing,https://www.google.com/maps/search/?api=1&query=Beit%20al%20Kababjii&query_place_id=ChIJV27vxaqJ1moRkNiBCbqv_No,https://beitalkababjii.com.au/,,+61 3 9973 9156,-37.8672171,144.7430381,False,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,False,True,True,,,True,True,True,True,,350.0,4.4
Food & drink,Aegli,Restaurant,"226 Coventry St, South Melbourne VIC 3205, Australia",Port Phillip,South Melbourne,https://www.google.com/maps/search/?api=1&query=Aegli&query_place_id=ChIJE8ZQJ0Jp1moRUQDa6oRbAGc,https://aegli.melbourne/,,+61 3 9279 4271,-37.8313425,144.9613426,False,Closed,5 to 10:30 PM,5 to 10:30 PM,5 to 10:30 PM,5 to 10:30 PM,5 to 10:30 PM,5 to 10:30 PM,,,,,,False,False,False,,False,192.0,4.9
Other,You're Covered Pty Ltd,Property management company,"1/4 Kitson St, Frankston VIC 3199, Australia",Frankston,Frankston,https://www.google.com/maps/search/?api=1&query=You're%20Covered%20Pty%20Ltd&query_place_id=ChIJX5C5HcZ01moRS8x_96WKV5Q,http://yourecovered.com.au/,,+61 3 5925 9292,-38.13302,145.126426,False,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,Closed,Closed,,,,,,True,,True,,,,
Education,Icon Hospitality Group,Hospitality and tourism school,"Shop 1/195 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Icon%20Hospitality%20Group&query_place_id=ChIJ2Y4IGLZC1moRwwoYXXOiZF0,http://iconhospitalitygroup.com.au/,,,-37.8148138,144.968055,False,,,,,,,,,,,,,,,,,,,
Shopping,Canda Computer Warehouse,Computer store,"1/1 Garden Rd, Clayton VIC 3168, Australia",Monash,Clayton,https://www.google.com/maps/search/?api=1&query=Canda%20Computer%20Warehouse&query_place_id=ChIJ61WAyTAV1moRCsO8LHekdtU,http://www.canda.net.au/,,+61 3 9574 9760,-37.9178544,145.146541,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,10 AM to 3 PM,Closed,,,,,,True,True,True,,,1.0,1.0
Shopping,BWS Thrift Park,Liquor store,"Shop 1/171 Nepean Hwy, Mentone VIC 3194, Australia",Kingston,Mentone,https://www.google.com/maps/search/?api=1&query=BWS%20Thrift%20Park&query_place_id=ChIJwTbZZLNt1moRj0lB8AeI4ek,https://bws.com.au/storelocator/VIC-Thrift-Park-3661,,+61 3 8551 8713,-37.9840012,145.0771335,False,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,10 AM to 8 PM,,,,,,True,True,True,,,67.0,3.8
Food & drink,Beretta's Langwarrin Hotel,Pub,"220 Cranbourne-Frankston Rd, Langwarrin VIC 3910, Australia",Frankston,Langwarrin,https://www.google.com/maps/search/?api=1&query=Beretta's%20Langwarrin%20Hotel&query_place_id=ChIJ2zrZECQL1moRRtPN2usR80I,http://www.berettas.com.au/,,+61 3 9789 2711,-38.1520538,145.1950988,False,11:30 AM to 9 PM,11:30 AM to 9 PM,11:30 AM to 9 PM,11:30 AM to 9 PM,11:30 AM to 9 PM,11:30 AM to 9 PM,11:30 AM to 9 PM,,True,,True,,True,True,True,True,,2506.0,4.0
Food & drink,Punjab Sweets And Dhaba | Pure Veg Indian Restaurant & Best Indian Sweet Shop in Epping VIC,Restaurant,"14 Miller St, Epping VIC 3076, Australia",Whittlesea,Epping,https://www.google.com/maps/search/?api=1&query=Punjab%20Sweets%20And%20Dhaba%20%7C%20Pure%20Veg%20Indian%20Restaurant%20%26%20Best%20Indian%20Sweet%20Shop%20in%20Epping%20VIC&query_place_id=ChIJ9UnRbX1P1moRjV4WzNqS4Lc,,,+61 3 7300 6669,-37.6499726,145.0199459,False,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,False,True,True,,,True,True,True,True,True,203.0,4.7
